"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLRCEUS","197301","1.142","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197302","0.978","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197303","0.768","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197304","0.503","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197305","0.51","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197306","0.512","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197307","0.505","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197308","0.546","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197309","0.736","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197310","0.857","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197311","0.949","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197312","1.011","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197313","9.018","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197401","1.06","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197402","0.904","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197403","0.725","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197404","0.501","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197405","0.432","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197406","0.412","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197407","0.383","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197408","0.542","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197409","0.662","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197410","0.728","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197411","0.719","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197412","0.819","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197413","7.886","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197501","0.841","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197502","0.55","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197503","0.534","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197504","0.355","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197505","0.284","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197506","0.311","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197507","0.381","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197508","0.355","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197509","0.486","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197510","0.555","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197511","0.582","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197512","0.8","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197513","6.034","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197601","0.726","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLRCEUS","197602","0.45","1","Coal Residential Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
